      2511890.   1.58489e-08 
      251189.   1.58489e-05 
      199526.   3.16228e-05 
      158489.   6.30958e-05 
      125893.   0.000125893 
      100000.   0.000251189 
      79432.8   0.000501187 
      63095.7    0.00100000 
      50118.7    0.00199526 
      39810.7    0.00398107 
      31622.8    0.00794328 
      25118.9     0.0158489 
      19952.6     0.0316228 
      15848.9     0.0623735 
      12589.3     0.0881049 
      10000.0      0.130317 
      7943.28      0.192753 
      6309.57      0.285102 
      5011.87      0.421697 
      4466.84      0.518800 
      3981.07      0.630957 
      3548.13      0.767361 
      3162.28      0.954993 
      2818.38       1.17490 
      2511.89       1.44544 
      2238.72       1.77828 
      1995.26       2.16272 
      1778.28       2.66073 
      1584.89       3.23594 
      1412.54       3.89045 
      1258.93       4.67735 
      1122.02       4.57088 
      1000.00       3.54813 
        912.0            2.33313
        800              2.79976
        700              3.73301
        600              4.66627
        500              6.53277
        400              9.33253
        300              14.9321
        200              27.9976
        100.00           93.3253
