    3.161    2.892
    3.079    3.290
    3.000    3.660
    2.920    4.047
    2.840    4.414
    2.760    4.788
    2.680    5.145
    2.600    5.498
    2.520    5.843
    2.439    6.174
    2.360    6.485
    2.281    6.770
    2.199    7.040
    2.121    7.279
    2.041    7.473
    2.000    7.551
    1.960    7.620
    1.880    7.717
    1.800    7.753
    1.778    7.751
    1.720    7.722
    1.641    7.622
    1.560    7.454
    1.480    7.224
    1.398    6.917
    1.320    6.556
    1.240    6.312
    1.161    6.509
    1.079    6.021
    1.064    5.837
    1.053    5.695
    1.041    5.476
    1.037    5.414
    0.987    4.562
    0.973    4.565
    0.954    5.023
    0.934    5.601
    0.924    5.860
    0.914    6.101
    0.886    6.581
    0.845    6.676
    0.820    6.631
    0.804    6.601
    0.792    6.634
    0.780    6.558
    0.767    6.519
    0.681    6.185
    0.532    4.911
    0.524    4.831
    0.519    4.867
    0.514    4.701
    0.500    4.481
    0.487    4.279
    0.430    3.180
0.40 2.35
0.35 0.973
 0.30 0.930
 0.25 0.825
 0.20 0.721
 0.15 0.405
 0.10 0.090
 0.05 -0.33
 0.00 -2.07 
 -0.05 -5.
 -0.1 -5.
 -0.15 -5.
 -0.2 -5.
 -0.25 -5.
 -0.3 -5.
 -0.35 -5.
 -0.4 -5.
 -0.45 -5.
 -0.5 -5.
 -0.55 -5.
 -0.6 -5.
 -0.65 -5.
 -0.7 -5.
 -0.75 -5.
 -0.8 -5.
 -0.85 -5.
 -0.9 -5.
 -0.95 -5.
 -1.0 -5.
 -1.05 -5.
 -1.1 -5.
 -1.15 -5.
 -1.2 -5.
 -1.25 -5.
 -1.3 -5.
 -1.35 -5.
 -1.4 -5.
